Date,Price,Open,High,Low,Vol.,Change %
12/31/2018,"1,284.50","1,284.00","1,288.60","1,284.00",0.02K,-0.12%
12/28/2018,"1,286.10","1,286.10","1,286.10","1,286.10",162.73K,0.39%
12/27/2018,"1,281.10","1,270.10","1,281.60","1,269.10",213.50K,0.64%
12/26/2018,"1,273.00","1,273.50","1,282.30","1,267.40",208.54K,0.09%
12/24/2018,"1,271.80","1,260.70","1,273.90","1,260.00",137.24K,1.09%
12/21/2018,"1,258.10","1,263.50","1,266.20","1,257.10",212.78K,-0.77%
12/20/2018,"1,267.90","1,247.00","1,270.30","1,246.20",318.24K,0.92%
12/19/2018,"1,256.40","1,253.50","1,262.20","1,245.30",275.31K,0.22%
12/18/2018,"1,253.60","1,249.70","1,254.50","1,249.00",171.59K,0.14%
12/17/2018,"1,251.80","1,242.80","1,252.20","1,239.40",166.88K,0.84%
12/14/2018,"1,241.40","1,246.20","1,247.30","1,236.50",194.65K,-0.48%
12/13/2018,"1,247.40","1,250.70","1,251.70","1,244.40",158.85K,-0.21%
12/12/2018,"1,250.00","1,248.30","1,252.60","1,247.10",157.07K,0.22%
12/11/2018,"1,247.20","1,249.80","1,255.10","1,245.80",186.39K,-0.18%
12/10/2018,"1,249.40","1,255.60","1,256.60","1,246.90",199.74K,-0.26%
12/07/2018,"1,252.60","1,243.10","1,255.80","1,242.60",225.56K,0.72%
12/06/2018,"1,243.60","1,243.00","1,249.90","1,240.00",248.86K,0.08%
12/05/2018,"1,242.60","1,244.60","1,244.80","1,238.70",110.21K,-0.32%
12/04/2018,"1,246.60","1,236.30","1,247.50","1,235.80",221.14K,0.56%
12/03/2018,"1,239.60","1,227.80","1,240.40","1,226.60",247.72K,1.11%
11/30/2018,"1,226.00","1,229.90","1,231.10","1,221.80",170.45K,-0.36%
11/29/2018,"1,230.40","1,227.10","1,234.90","1,226.70",246.43K,0.26%
11/28/2018,"1,227.20","1,217.70","1,230.20","1,214.50",1.37K,0.83%
11/27/2018,"1,217.10","1,226.90","1,228.80","1,215.90",0.77K,-0.73%
11/26/2018,"1,226.10","1,226.60","1,231.00","1,225.60",0.28K,-0.04%
11/23/2018,"1,226.60","1,231.30","1,232.60","1,224.20",0.78K,0.28%
11/22/2018,"1,223.20","1,227.80","1,229.20","1,220.30",240.35K,-0.65%
11/21/2018,"1,231.20","1,225.70","1,232.90","1,223.60",0.22K,0.56%
11/20/2018,"1,224.40","1,225.30","1,232.30","1,224.30",0.53K,-0.34%
11/19/2018,"1,228.60","1,225.70","1,229.30","1,222.70",0.26K,0.18%
11/16/2018,"1,226.40","1,217.30","1,229.10","1,217.30",0.87K,0.64%
11/15/2018,"1,218.60","1,215.40","1,219.70","1,212.70",0.29K,0.40%
11/14/2018,"1,213.80","1,206.70","1,217.50","1,202.50",0.18K,0.72%
11/13/2018,"1,205.10","1,205.20","1,209.00","1,201.70",0.47K,-0.18%
11/12/2018,"1,207.30","1,214.00","1,214.50","1,204.80",0.16K,-0.44%
11/09/2018,"1,212.60","1,227.20","1,227.30","1,211.50",0.31K,-1.36%
